country,iso3,who.region,resource,unit_cost,cost.m,cost.sd
Jordan,JOR,EMR,Household visit,c_hh_visit,3.07,0.77
Kazakhstan,KAZ,EUR,Household visit,c_hh_visit,2.51,0.63
Kenya,KEN,AFR,Household visit,c_hh_visit,3.06,0.77
Kiribati,KIR,WPR,Household visit,c_hh_visit,5.13,1.28
Kuwait,KWT,EMR,Household visit,c_hh_visit,4.62,1.16
Kyrgyzstan,KGZ,EUR,Household visit,c_hh_visit,1.75,0.44
Lao People's Democratic Republic,LAO,WPR,Household visit,c_hh_visit,2.37,0.59
Latvia,LVA,EUR,Household visit,c_hh_visit,4.08,1.02
Lebanon,LBN,EMR,Household visit,c_hh_visit,2.95,0.74
Lesotho,LSO,AFR,Household visit,c_hh_visit,2.66,0.66
Liberia,LBR,AFR,Household visit,c_hh_visit,3.03,0.76
Libya,LBY,EMR,Household visit,c_hh_visit,2.53,0.63
Lithuania,LTU,EUR,Household visit,c_hh_visit,3.83,0.96
Luxembourg,LUX,EUR,Household visit,c_hh_visit,7.26,1.82
Madagascar,MDG,AFR,Household visit,c_hh_visit,2.31,0.58
Malawi,MWI,AFR,Household visit,c_hh_visit,2.96,0.74
Malaysia,MYS,WPR,Household visit,c_hh_visit,2.77,0.69
Maldives,MDV,SEA,Household visit,c_hh_visit,4.02,1
Mali,MLI,AFR,Household visit,c_hh_visit,2.73,0.68
Malta,MLT,EUR,Household visit,c_hh_visit,4.85,1.21
Marshall Islands,MHL,WPR,Household visit,c_hh_visit,7.2,1.8
Mauritania,MRT,AFR,Household visit,c_hh_visit,2.36,0.59
Mauritius,MUS,AFR,Household visit,c_hh_visit,3.12,0.78
Mexico,MEX,AMR,Household visit,c_hh_visit,3.29,0.82
Micronesia (Federated States of),FSM,WPR,Household visit,c_hh_visit,7.36,1.84
Monaco,MCO,EUR,Household visit,c_hh_visit,2.6,0.65
Mongolia,MNG,WPR,Household visit,c_hh_visit,2.46,0.61
Montenegro,MNE,EUR,Household visit,c_hh_visit,2.77,0.69
Montserrat,MSR,AMR,Household visit,c_hh_visit,7.42,1.86
Morocco,MAR,EMR,Household visit,c_hh_visit,3.06,0.77
Mozambique,MOZ,AFR,Household visit,c_hh_visit,2.57,0.64
Myanmar,MMR,SEA,Household visit,c_hh_visit,2.17,0.54
Namibia,NAM,AFR,Household visit,c_hh_visit,3.33,0.83
Nauru,NRU,WPR,Household visit,c_hh_visit,5.78,1.45
Nepal,NPL,SEA,Household visit,c_hh_visit,2.14,0.53
Netherlands,NLD,EUR,Household visit,c_hh_visit,6.55,1.64
New Caledonia,NCL,WPR,Household visit,c_hh_visit,6.55,1.64
New Zealand,NZL,WPR,Household visit,c_hh_visit,6.95,1.74
Nicaragua,NIC,AMR,Household visit,c_hh_visit,2.54,0.63
Niger,NER,AFR,Household visit,c_hh_visit,3.32,0.83
Nigeria,NGA,AFR,Household visit,c_hh_visit,3,0.75
Niue,NIU,WPR,Household visit,c_hh_visit,7.42,1.86
North Macedonia,MKD,EUR,Household visit,c_hh_visit,2.58,0.65
Northern Mariana Islands,MNP,WPR,Household visit,c_hh_visit,2.58,0.65
Norway,NOR,EUR,Household visit,c_hh_visit,7.9,1.98
Oman,OMN,EMR,Household visit,c_hh_visit,4,1
Pakistan,PAK,EMR,Household visit,c_hh_visit,1.82,0.45
Palau,PLW,WPR,Household visit,c_hh_visit,6.04,1.51
Panama,PAN,AMR,Household visit,c_hh_visit,3.4,0.85
Papua New Guinea,PNG,WPR,Household visit,c_hh_visit,4.52,1.13
Paraguay,PRY,AMR,Household visit,c_hh_visit,2.82,0.71
Peru,PER,AMR,Household visit,c_hh_visit,3.83,0.96
Philippines,PHL,WPR,Household visit,c_hh_visit,2.92,0.73
Poland,POL,EUR,Household visit,c_hh_visit,3.39,0.85
Portugal,PRT,EUR,Household visit,c_hh_visit,4.83,1.21
Puerto Rico,PRI,AMR,Household visit,c_hh_visit,6.79,1.7
Qatar,QAT,EMR,Household visit,c_hh_visit,4.19,1.05
Republic of Korea,KOR,WPR,Household visit,c_hh_visit,5.42,1.35
Republic of Moldova,MDA,EUR,Household visit,c_hh_visit,2.6,0.65
Romania,ROU,EUR,Household visit,c_hh_visit,3,0.75
Russian Federation,RUS,EUR,Household visit,c_hh_visit,2.66,0.67
Rwanda,RWA,AFR,Household visit,c_hh_visit,2.67,0.67
Saint Kitts and Nevis,KNA,AMR,Household visit,c_hh_visit,5.27,1.32
Saint Lucia,LCA,AMR,Household visit,c_hh_visit,5.32,1.33
Saint Vincent and the Grenadines,VCT,AMR,Household visit,c_hh_visit,4.24,1.06
Samoa,WSM,WPR,Household visit,c_hh_visit,4.72,1.18
San Marino,SMR,EUR,Household visit,c_hh_visit,5.58,1.4
Sao Tome and Principe,STP,AFR,Household visit,c_hh_visit,3.75,0.94
Saudi Arabia,SAU,EMR,Household visit,c_hh_visit,3.19,0.8
Senegal,SEN,AFR,Household visit,c_hh_visit,3.17,0.79
Serbia,SRB,EUR,Household visit,c_hh_visit,2.96,0.74
Seychelles,SYC,AFR,Household visit,c_hh_visit,3.3,0.82
Sierra Leone,SLE,AFR,Household visit,c_hh_visit,2.07,0.52
Singapore,SGP,WPR,Household visit,c_hh_visit,4.5,1.13
Sint Maarten (Dutch part),SXM,AMR,Household visit,c_hh_visit,5.98,1.49
Slovakia,SVK,EUR,Household visit,c_hh_visit,4.47,1.12
Slovenia,SVN,EUR,Household visit,c_hh_visit,4.72,1.18
Solomon Islands,SLB,WPR,Household visit,c_hh_visit,6.4,1.6
Somalia,SOM,EMR,Household visit,c_hh_visit,2.62,0.66
South Africa,ZAF,AFR,Household visit,c_hh_visit,3.12,0.78
South Sudan,SSD,AFR,Household visit,c_hh_visit,3.12,0.78
Spain,ESP,EUR,Household visit,c_hh_visit,5.24,1.31
Sri Lanka,LKA,SEA,Household visit,c_hh_visit,2.07,0.52
Sudan,SDN,EMR,Household visit,c_hh_visit,1.04,0.26
Suriname,SUR,AMR,Household visit,c_hh_visit,2.83,0.71
Sweden,SWE,EUR,Household visit,c_hh_visit,7.06,1.77
Switzerland,CHE,EUR,Household visit,c_hh_visit,9.01,2.25
Syrian Arab Republic,SYR,EMR,Household visit,c_hh_visit,9.01,2.25
Tajikistan,TJK,EUR,Household visit,c_hh_visit,1.65,0.41
Thailand,THA,SEA,Household visit,c_hh_visit,2.93,0.73
Timor-Leste,TLS,SEA,Household visit,c_hh_visit,3.05,0.76
Togo,TGO,AFR,Household visit,c_hh_visit,3.05,0.76
Tokelau,TKL,WPR,Household visit,c_hh_visit,7.42,1.86
Tonga,TON,WPR,Household visit,c_hh_visit,5.47,1.37
Trinidad and Tobago,TTO,AMR,Household visit,c_hh_visit,4.56,1.14
Tunisia,TUN,EMR,Household visit,c_hh_visit,2.4,0.6
Turkey,TUR,EUR,Household visit,c_hh_visit,2.25,0.56
Turkmenistan,TKM,EUR,Household visit,c_hh_visit,3.49,0.87
Turks and Caicos Islands,TCA,AMR,Household visit,c_hh_visit,7.95,1.99
Tuvalu,TUV,WPR,Household visit,c_hh_visit,6.61,1.65
Uganda,UGA,AFR,Household visit,c_hh_visit,2.64,0.66
Ukraine,UKR,EUR,Household visit,c_hh_visit,2.12,0.53
United Arab Emirates,ARE,EMR,Household visit,c_hh_visit,4.57,1.14
United Kingdom of Great Britain and Northern Ireland,GBR,EUR,Household visit,c_hh_visit,6.65,1.66
United Republic of Tanzania,TZA,AFR,Household visit,c_hh_visit,2.87,0.72
United States of America,USA,AMR,Household visit,c_hh_visit,7.42,1.86
Uruguay,URY,AMR,Household visit,c_hh_visit,5.03,1.26
Uzbekistan,UZB,EUR,Household visit,c_hh_visit,1.7,0.42
Vanuatu,VUT,WPR,Household visit,c_hh_visit,7.09,1.77
Venezuela (Bolivarian Republic of),VEN,AMR,Household visit,c_hh_visit,7.09,1.77
Viet Nam,VNM,WPR,Household visit,c_hh_visit,2.39,0.6
Wallis and Futuna Islands,WLF,WPR,Household visit,c_hh_visit,7.42,1.86
Yemen,YEM,EMR,Household visit,c_hh_visit,4.22,1.06
Zambia,ZMB,AFR,Household visit,c_hh_visit,2.26,0.57
Zimbabwe,ZWE,AFR,Household visit,c_hh_visit,2.89,0.72
Afghanistan,AFG,EMR,HIV test,c_hiv_test,2.72,3.81
Albania,ALB,EUR,HIV test,c_hiv_test,4.21,5.9
Algeria,DZA,AFR,HIV test,c_hiv_test,3.28,4.59
American Samoa,ASM,WPR,HIV test,c_hiv_test,3.28,4.59
Andorra,AND,EUR,HIV test,c_hiv_test,18.37,7.79
Angola,AGO,AFR,HIV test,c_hiv_test,3.24,4.53
Anguilla,AIA,AMR,HIV test,c_hiv_test,62.53,26.52
Antigua and Barbuda,ATG,AMR,HIV test,c_hiv_test,47.7,20.23
Argentina,ARG,AMR,HIV test,c_hiv_test,4.54,6.35
Armenia,ARM,EUR,HIV test,c_hiv_test,3.59,5.02
Aruba,ABW,AMR,HIV test,c_hiv_test,47.19,20.01
Australia,AUS,WPR,HIV test,c_hiv_test,61.69,26.16
Austria,AUT,EUR,HIV test,c_hiv_test,54.6,23.15
Azerbaijan,AZE,EUR,HIV test,c_hiv_test,3.26,4.56
Bahamas,BHS,AMR,HIV test,c_hiv_test,55.12,23.38
Bahrain,BHR,EMR,HIV test,c_hiv_test,31.21,13.24
Bangladesh,BGD,SEA,HIV test,c_hiv_test,4.33,6.06
Barbados,BRB,AMR,HIV test,c_hiv_test,69.97,29.67
Belarus,BLR,EUR,HIV test,c_hiv_test,3.54,4.96
Belgium,BEL,EUR,HIV test,c_hiv_test,53.66,22.76
Belize,BLZ,AMR,HIV test,c_hiv_test,7.67,10.74
Benin,BEN,AFR,HIV test,c_hiv_test,4.11,5.76
Bermuda,BMU,AMR,HIV test,c_hiv_test,85.88,36.42
Bhutan,BTN,SEA,HIV test,c_hiv_test,3.03,4.24
Bolivia (Plurinational State of),BOL,AMR,HIV test,c_hiv_test,4.19,5.87
Bosnia and Herzegovina,BIH,EUR,HIV test,c_hiv_test,4.31,6.04
Botswana,BWA,AFR,HIV test,c_hiv_test,4.43,6.2
Brazil,BRA,AMR,HIV test,c_hiv_test,5.12,7.16
British Virgin Islands,VGB,AMR,HIV test,c_hiv_test,5.12,7.16
Brunei Darussalam,BRN,WPR,HIV test,c_hiv_test,26.16,11.09
Bulgaria,BGR,EUR,HIV test,c_hiv_test,4.57,6.4
Burkina Faso,BFA,AFR,HIV test,c_hiv_test,4.07,5.7
Burundi,BDI,AFR,HIV test,c_hiv_test,3.97,5.55
Cabo Verde,CPV,AFR,HIV test,c_hiv_test,5.37,7.51
Cambodia,KHM,WPR,HIV test,c_hiv_test,3.82,5.35
Cameroon,CMR,AFR,HIV test,c_hiv_test,4.44,6.21
Canada,CAN,AMR,HIV test,c_hiv_test,56.25,23.86
Cayman Islands,CYM,AMR,HIV test,c_hiv_test,74.46,31.58
Central African Republic,CAF,AFR,HIV test,c_hiv_test,5.44,7.61
Chad,TCD,AFR,HIV test,c_hiv_test,4.28,5.99
Chile,CHL,AMR,HIV test,c_hiv_test,33.01,14
China,CHN,WPR,HIV test,c_hiv_test,6.77,9.48
"China, Hong Kong SAR",HKG,WPR,HIV test,c_hiv_test,48.9,20.74
"China, Macao SAR",MAC,WPR,HIV test,c_hiv_test,40.63,17.23
Colombia,COL,AMR,HIV test,c_hiv_test,4.09,5.72
Comoros,COM,AFR,HIV test,c_hiv_test,4.73,6.62
Congo,COG,AFR,HIV test,c_hiv_test,6.05,8.48
Cook Islands,COK,WPR,HIV test,c_hiv_test,62.53,26.52
Costa Rica,CRI,AMR,HIV test,c_hiv_test,6.41,8.98
Côte d'Ivoire,CIV,AFR,HIV test,c_hiv_test,4.76,6.66
Croatia,HRV,EUR,HIV test,c_hiv_test,30.34,12.87
Cuba,CUB,AMR,HIV test,c_hiv_test,5.42,7.58
Curaçao,CUW,AMR,HIV test,c_hiv_test,48.26,20.47
Cyprus,CYP,EUR,HIV test,c_hiv_test,43.29,18.36
Czechia,CZE,EUR,HIV test,c_hiv_test,34.1,14.46
Democratic People's Republic of Korea,PRK,SEA,HIV test,c_hiv_test,7.72,10.8
Democratic Republic of the Congo,COD,AFR,HIV test,c_hiv_test,5.5,7.7
Denmark,DNK,EUR,HIV test,c_hiv_test,63.06,26.74
Djibouti,DJI,EMR,HIV test,c_hiv_test,6.62,9.26
Dominica,DMA,AMR,HIV test,c_hiv_test,6.98,9.78
Dominican Republic,DOM,AMR,HIV test,c_hiv_test,4.52,6.33
Ecuador,ECU,AMR,HIV test,c_hiv_test,5.74,8.03
Egypt,EGY,EMR,HIV test,c_hiv_test,3.14,4.4
El Salvador,SLV,AMR,HIV test,c_hiv_test,4.99,6.99
Equatorial Guinea,GNQ,AFR,HIV test,c_hiv_test,4.45,6.22
Eritrea,ERI,AFR,HIV test,c_hiv_test,4.05,5.67
Estonia,EST,EUR,HIV test,c_hiv_test,37.97,16.1
Eswatini,SWZ,AFR,HIV test,c_hiv_test,4.31,6.03
Ethiopia,ETH,AFR,HIV test,c_hiv_test,4.32,6.04
Fiji,FJI,WPR,HIV test,c_hiv_test,4.7,6.58
Finland,FIN,EUR,HIV test,c_hiv_test,60.03,25.46
France,FRA,EUR,HIV test,c_hiv_test,52.25,22.16
French Polynesia,PYF,WPR,HIV test,c_hiv_test,52.25,22.16
Gabon,GAB,AFR,HIV test,c_hiv_test,5.15,7.21
Gambia,GMB,AFR,HIV test,c_hiv_test,3.86,5.4
Georgia,GEO,EUR,HIV test,c_hiv_test,3.21,4.5
Germany,DEU,EUR,HIV test,c_hiv_test,53.25,22.58
Ghana,GHA,AFR,HIV test,c_hiv_test,4.65,6.5
Greece,GRC,EUR,HIV test,c_hiv_test,38.83,16.47
Greenland,GRL,EUR,HIV test,c_hiv_test,38.83,16.47
Grenada,GRD,AMR,HIV test,c_hiv_test,6.8,9.52
Guam,GUM,WPR,HIV test,c_hiv_test,38.09,16.15
Guatemala,GTM,AMR,HIV test,c_hiv_test,5.81,8.13
Guinea,GIN,AFR,HIV test,c_hiv_test,4.73,6.63
Guinea-Bissau,GNB,AFR,HIV test,c_hiv_test,4.17,5.84
Guyana,GUY,AMR,HIV test,c_hiv_test,3.94,5.52
Haiti,HTI,AMR,HIV test,c_hiv_test,4.49,6.29
Honduras,HND,AMR,HIV test,c_hiv_test,4.96,6.94
Hungary,HUN,EUR,HIV test,c_hiv_test,30.05,12.74
Iceland,ISL,EUR,HIV test,c_hiv_test,67.11,28.46
India,IND,SEA,HIV test,c_hiv_test,3.29,4.6
Indonesia,IDN,SEA,HIV test,c_hiv_test,3.58,5.01
Iran (Islamic Republic of),IRN,EMR,HIV test,c_hiv_test,1.94,2.72
Iraq,IRQ,EMR,HIV test,c_hiv_test,4.75,6.66
Ireland,IRL,EUR,HIV test,c_hiv_test,55.99,23.74
Israel,ISR,EUR,HIV test,c_hiv_test,65.16,27.63
Italy,ITA,EUR,HIV test,c_hiv_test,47.34,20.08
Jamaica,JAM,AMR,HIV test,c_hiv_test,5.65,7.91
Japan,JPN,WPR,HIV test,c_hiv_test,60.23,25.54
Jordan,JOR,EMR,HIV test,c_hiv_test,4.62,6.47
Kazakhstan,KAZ,EUR,HIV test,c_hiv_test,3.78,5.3
Kenya,KEN,AFR,HIV test,c_hiv_test,4.61,6.45
Kiribati,KIR,WPR,HIV test,c_hiv_test,7.72,10.8
Kuwait,KWT,EMR,HIV test,c_hiv_test,38.96,16.52
Kyrgyzstan,KGZ,EUR,HIV test,c_hiv_test,2.64,3.7
Lao People's Democratic Republic,LAO,WPR,HIV test,c_hiv_test,3.57,4.99
Latvia,LVA,EUR,HIV test,c_hiv_test,34.41,14.59
Lebanon,LBN,EMR,HIV test,c_hiv_test,4.44,6.22
Lesotho,LSO,AFR,HIV test,c_hiv_test,4,5.6
Liberia,LBR,AFR,HIV test,c_hiv_test,4.56,6.38
Libya,LBY,EMR,HIV test,c_hiv_test,3.81,5.33
Lithuania,LTU,EUR,HIV test,c_hiv_test,32.28,13.69
Luxembourg,LUX,EUR,HIV test,c_hiv_test,61.22,25.96
Madagascar,MDG,AFR,HIV test,c_hiv_test,3.47,4.86
Malawi,MWI,AFR,HIV test,c_hiv_test,4.45,6.23
Malaysia,MYS,WPR,HIV test,c_hiv_test,4.17,5.83
Maldives,MDV,SEA,HIV test,c_hiv_test,6.05,8.47
Mali,MLI,AFR,HIV test,c_hiv_test,4.1,5.74
Malta,MLT,EUR,HIV test,c_hiv_test,40.89,17.34
Marshall Islands,MHL,WPR,HIV test,c_hiv_test,10.83,15.16
Mauritania,MRT,AFR,HIV test,c_hiv_test,3.55,4.98
Mauritius,MUS,AFR,HIV test,c_hiv_test,4.69,6.56
Mexico,MEX,AMR,HIV test,c_hiv_test,4.95,6.93
Micronesia (Federated States of),FSM,WPR,HIV test,c_hiv_test,11.08,15.51
Monaco,MCO,EUR,HIV test,c_hiv_test,21.89,9.28
Mongolia,MNG,WPR,HIV test,c_hiv_test,3.7,5.18
Montenegro,MNE,EUR,HIV test,c_hiv_test,4.17,5.84
Montserrat,MSR,AMR,HIV test,c_hiv_test,11.17,15.63
Morocco,MAR,EMR,HIV test,c_hiv_test,4.61,6.45
Mozambique,MOZ,AFR,HIV test,c_hiv_test,3.86,5.41
Myanmar,MMR,SEA,HIV test,c_hiv_test,3.26,4.57
Namibia,NAM,AFR,HIV test,c_hiv_test,5.01,7.02
Nauru,NRU,WPR,HIV test,c_hiv_test,8.7,12.18
Nepal,NPL,SEA,HIV test,c_hiv_test,3.22,4.5
Netherlands,NLD,EUR,HIV test,c_hiv_test,55.22,23.42
New Caledonia,NCL,WPR,HIV test,c_hiv_test,55.22,23.42
New Zealand,NZL,WPR,HIV test,c_hiv_test,58.61,24.86
Nicaragua,NIC,AMR,HIV test,c_hiv_test,3.82,5.35
Niger,NER,AFR,HIV test,c_hiv_test,5,7
Nigeria,NGA,AFR,HIV test,c_hiv_test,4.51,6.32
Niue,NIU,WPR,HIV test,c_hiv_test,62.53,26.52
North Macedonia,MKD,EUR,HIV test,c_hiv_test,3.88,5.44
Northern Mariana Islands,MNP,WPR,HIV test,c_hiv_test,21.75,9.23
Norway,NOR,EUR,HIV test,c_hiv_test,66.59,28.24
Oman,OMN,EMR,HIV test,c_hiv_test,33.73,14.3
Pakistan,PAK,EMR,HIV test,c_hiv_test,2.73,3.83
Palau,PLW,WPR,HIV test,c_hiv_test,50.9,21.59
Panama,PAN,AMR,HIV test,c_hiv_test,5.12,7.16
Papua New Guinea,PNG,WPR,HIV test,c_hiv_test,6.81,9.53
Paraguay,PRY,AMR,HIV test,c_hiv_test,4.25,5.95
Peru,PER,AMR,HIV test,c_hiv_test,5.76,8.06
Philippines,PHL,WPR,HIV test,c_hiv_test,4.39,6.15
Poland,POL,EUR,HIV test,c_hiv_test,28.57,12.12
Portugal,PRT,EUR,HIV test,c_hiv_test,40.68,17.25
Puerto Rico,PRI,AMR,HIV test,c_hiv_test,57.24,24.27
Qatar,QAT,EMR,HIV test,c_hiv_test,35.32,14.98
Republic of Korea,KOR,WPR,HIV test,c_hiv_test,45.66,19.37
Republic of Moldova,MDA,EUR,HIV test,c_hiv_test,3.91,5.47
Romania,ROU,EUR,HIV test,c_hiv_test,25.24,10.71
Russian Federation,RUS,EUR,HIV test,c_hiv_test,4.01,5.61
Rwanda,RWA,AFR,HIV test,c_hiv_test,4.02,5.63
Saint Kitts and Nevis,KNA,AMR,HIV test,c_hiv_test,44.44,18.85
Saint Lucia,LCA,AMR,HIV test,c_hiv_test,8,11.2
Saint Vincent and the Grenadines,VCT,AMR,HIV test,c_hiv_test,6.38,8.93
Samoa,WSM,WPR,HIV test,c_hiv_test,7.11,9.95
San Marino,SMR,EUR,HIV test,c_hiv_test,47.06,19.96
Sao Tome and Principe,STP,AFR,HIV test,c_hiv_test,5.64,7.89
Saudi Arabia,SAU,EMR,HIV test,c_hiv_test,26.89,11.41
Senegal,SEN,AFR,HIV test,c_hiv_test,4.77,6.68
Serbia,SRB,EUR,HIV test,c_hiv_test,4.45,6.23
Seychelles,SYC,AFR,HIV test,c_hiv_test,4.96,6.95
Sierra Leone,SLE,AFR,HIV test,c_hiv_test,3.11,4.36
Singapore,SGP,WPR,HIV test,c_hiv_test,37.95,16.1
Sint Maarten (Dutch part),SXM,AMR,HIV test,c_hiv_test,50.38,21.37
Slovakia,SVK,EUR,HIV test,c_hiv_test,37.63,15.96
Slovenia,SVN,EUR,HIV test,c_hiv_test,39.77,16.87
Solomon Islands,SLB,WPR,HIV test,c_hiv_test,9.63,13.48
Somalia,SOM,EMR,HIV test,c_hiv_test,3.95,5.53
South Africa,ZAF,AFR,HIV test,c_hiv_test,4.7,6.58
South Sudan,SSD,AFR,HIV test,c_hiv_test,4.7,6.58
Spain,ESP,EUR,HIV test,c_hiv_test,44.14,18.72
