country,iso3,who.region,resource,unit_cost,cost.m,cost.sd
Denmark,DNK,EUR,HIV test,c_hiv_test,63.06,26.74
Djibouti,DJI,EMR,HIV test,c_hiv_test,6.62,9.26
Dominica,DMA,AMR,HIV test,c_hiv_test,6.98,9.78
Dominican Republic,DOM,AMR,HIV test,c_hiv_test,4.52,6.33
Ecuador,ECU,AMR,HIV test,c_hiv_test,5.74,8.03
Egypt,EGY,EMR,HIV test,c_hiv_test,3.14,4.4
El Salvador,SLV,AMR,HIV test,c_hiv_test,4.99,6.99
Equatorial Guinea,GNQ,AFR,HIV test,c_hiv_test,4.45,6.22
Eritrea,ERI,AFR,HIV test,c_hiv_test,4.05,5.67
Estonia,EST,EUR,HIV test,c_hiv_test,37.97,16.1
Eswatini,SWZ,AFR,HIV test,c_hiv_test,4.31,6.03
Ethiopia,ETH,AFR,HIV test,c_hiv_test,4.32,6.04
Fiji,FJI,WPR,HIV test,c_hiv_test,4.7,6.58
Finland,FIN,EUR,HIV test,c_hiv_test,60.03,25.46
France,FRA,EUR,HIV test,c_hiv_test,52.25,22.16
French Polynesia,PYF,WPR,HIV test,c_hiv_test,52.25,22.16
Gabon,GAB,AFR,HIV test,c_hiv_test,5.15,7.21
Gambia,GMB,AFR,HIV test,c_hiv_test,3.86,5.4
Georgia,GEO,EUR,HIV test,c_hiv_test,3.21,4.5
Germany,DEU,EUR,HIV test,c_hiv_test,53.25,22.58
Ghana,GHA,AFR,HIV test,c_hiv_test,4.65,6.5
Greece,GRC,EUR,HIV test,c_hiv_test,38.83,16.47
Greenland,GRL,EUR,HIV test,c_hiv_test,38.83,16.47
Grenada,GRD,AMR,HIV test,c_hiv_test,6.8,9.52
Guam,GUM,WPR,HIV test,c_hiv_test,38.09,16.15
Guatemala,GTM,AMR,HIV test,c_hiv_test,5.81,8.13
Guinea,GIN,AFR,HIV test,c_hiv_test,4.73,6.63
Guinea-Bissau,GNB,AFR,HIV test,c_hiv_test,4.17,5.84
Guyana,GUY,AMR,HIV test,c_hiv_test,3.94,5.52
Haiti,HTI,AMR,HIV test,c_hiv_test,4.49,6.29
Honduras,HND,AMR,HIV test,c_hiv_test,4.96,6.94
Hungary,HUN,EUR,HIV test,c_hiv_test,30.05,12.74
Iceland,ISL,EUR,HIV test,c_hiv_test,67.11,28.46
India,IND,SEA,HIV test,c_hiv_test,3.29,4.6
Indonesia,IDN,SEA,HIV test,c_hiv_test,3.58,5.01
Iran (Islamic Republic of),IRN,EMR,HIV test,c_hiv_test,1.94,2.72
Iraq,IRQ,EMR,HIV test,c_hiv_test,4.75,6.66
Ireland,IRL,EUR,HIV test,c_hiv_test,55.99,23.74
Israel,ISR,EUR,HIV test,c_hiv_test,65.16,27.63
Italy,ITA,EUR,HIV test,c_hiv_test,47.34,20.08
Jamaica,JAM,AMR,HIV test,c_hiv_test,5.65,7.91
Japan,JPN,WPR,HIV test,c_hiv_test,60.23,25.54
Jordan,JOR,EMR,HIV test,c_hiv_test,4.62,6.47
Kazakhstan,KAZ,EUR,HIV test,c_hiv_test,3.78,5.3
Kenya,KEN,AFR,HIV test,c_hiv_test,4.61,6.45
Kiribati,KIR,WPR,HIV test,c_hiv_test,7.72,10.8
Kuwait,KWT,EMR,HIV test,c_hiv_test,38.96,16.52
Kyrgyzstan,KGZ,EUR,HIV test,c_hiv_test,2.64,3.7
Lao People's Democratic Republic,LAO,WPR,HIV test,c_hiv_test,3.57,4.99
Latvia,LVA,EUR,HIV test,c_hiv_test,34.41,14.59
Lebanon,LBN,EMR,HIV test,c_hiv_test,4.44,6.22
Lesotho,LSO,AFR,HIV test,c_hiv_test,4,5.6
Liberia,LBR,AFR,HIV test,c_hiv_test,4.56,6.38
Libya,LBY,EMR,HIV test,c_hiv_test,3.81,5.33
Lithuania,LTU,EUR,HIV test,c_hiv_test,32.28,13.69
Luxembourg,LUX,EUR,HIV test,c_hiv_test,61.22,25.96
Madagascar,MDG,AFR,HIV test,c_hiv_test,3.47,4.86
Malawi,MWI,AFR,HIV test,c_hiv_test,4.45,6.23
Malaysia,MYS,WPR,HIV test,c_hiv_test,4.17,5.83
Maldives,MDV,SEA,HIV test,c_hiv_test,6.05,8.47
Mali,MLI,AFR,HIV test,c_hiv_test,4.1,5.74
Malta,MLT,EUR,HIV test,c_hiv_test,40.89,17.34
Marshall Islands,MHL,WPR,HIV test,c_hiv_test,10.83,15.16
Mauritania,MRT,AFR,HIV test,c_hiv_test,3.55,4.98
Mauritius,MUS,AFR,HIV test,c_hiv_test,4.69,6.56
Mexico,MEX,AMR,HIV test,c_hiv_test,4.95,6.93
Micronesia (Federated States of),FSM,WPR,HIV test,c_hiv_test,11.08,15.51
Monaco,MCO,EUR,HIV test,c_hiv_test,21.89,9.28
Mongolia,MNG,WPR,HIV test,c_hiv_test,3.7,5.18
Montenegro,MNE,EUR,HIV test,c_hiv_test,4.17,5.84
Montserrat,MSR,AMR,HIV test,c_hiv_test,11.17,15.63
Morocco,MAR,EMR,HIV test,c_hiv_test,4.61,6.45
Mozambique,MOZ,AFR,HIV test,c_hiv_test,3.86,5.41
Myanmar,MMR,SEA,HIV test,c_hiv_test,3.26,4.57
Namibia,NAM,AFR,HIV test,c_hiv_test,5.01,7.02
Nauru,NRU,WPR,HIV test,c_hiv_test,8.7,12.18
Nepal,NPL,SEA,HIV test,c_hiv_test,3.22,4.5
Netherlands,NLD,EUR,HIV test,c_hiv_test,55.22,23.42
New Caledonia,NCL,WPR,HIV test,c_hiv_test,55.22,23.42
New Zealand,NZL,WPR,HIV test,c_hiv_test,58.61,24.86
Nicaragua,NIC,AMR,HIV test,c_hiv_test,3.82,5.35
Niger,NER,AFR,HIV test,c_hiv_test,5,7
Nigeria,NGA,AFR,HIV test,c_hiv_test,4.51,6.32
Niue,NIU,WPR,HIV test,c_hiv_test,62.53,26.52
North Macedonia,MKD,EUR,HIV test,c_hiv_test,3.88,5.44
Northern Mariana Islands,MNP,WPR,HIV test,c_hiv_test,21.75,9.23
Norway,NOR,EUR,HIV test,c_hiv_test,66.59,28.24
Oman,OMN,EMR,HIV test,c_hiv_test,33.73,14.3
Pakistan,PAK,EMR,HIV test,c_hiv_test,2.73,3.83
Palau,PLW,WPR,HIV test,c_hiv_test,50.9,21.59
Panama,PAN,AMR,HIV test,c_hiv_test,5.12,7.16
Papua New Guinea,PNG,WPR,HIV test,c_hiv_test,6.81,9.53
Paraguay,PRY,AMR,HIV test,c_hiv_test,4.25,5.95
Peru,PER,AMR,HIV test,c_hiv_test,5.76,8.06
Philippines,PHL,WPR,HIV test,c_hiv_test,4.39,6.15
Poland,POL,EUR,HIV test,c_hiv_test,28.57,12.12
Portugal,PRT,EUR,HIV test,c_hiv_test,40.68,17.25
Puerto Rico,PRI,AMR,HIV test,c_hiv_test,57.24,24.27
Qatar,QAT,EMR,HIV test,c_hiv_test,35.32,14.98
Republic of Korea,KOR,WPR,HIV test,c_hiv_test,45.66,19.37
Republic of Moldova,MDA,EUR,HIV test,c_hiv_test,3.91,5.47
Romania,ROU,EUR,HIV test,c_hiv_test,25.24,10.71
Russian Federation,RUS,EUR,HIV test,c_hiv_test,4.01,5.61
Rwanda,RWA,AFR,HIV test,c_hiv_test,4.02,5.63
Saint Kitts and Nevis,KNA,AMR,HIV test,c_hiv_test,44.44,18.85
Saint Lucia,LCA,AMR,HIV test,c_hiv_test,8,11.2
Saint Vincent and the Grenadines,VCT,AMR,HIV test,c_hiv_test,6.38,8.93
Samoa,WSM,WPR,HIV test,c_hiv_test,7.11,9.95
San Marino,SMR,EUR,HIV test,c_hiv_test,47.06,19.96
Sao Tome and Principe,STP,AFR,HIV test,c_hiv_test,5.64,7.89
Saudi Arabia,SAU,EMR,HIV test,c_hiv_test,26.89,11.41
Senegal,SEN,AFR,HIV test,c_hiv_test,4.77,6.68
Serbia,SRB,EUR,HIV test,c_hiv_test,4.45,6.23
Seychelles,SYC,AFR,HIV test,c_hiv_test,4.96,6.95
Sierra Leone,SLE,AFR,HIV test,c_hiv_test,3.11,4.36
Singapore,SGP,WPR,HIV test,c_hiv_test,37.95,16.1
Sint Maarten (Dutch part),SXM,AMR,HIV test,c_hiv_test,50.38,21.37
Slovakia,SVK,EUR,HIV test,c_hiv_test,37.63,15.96
Slovenia,SVN,EUR,HIV test,c_hiv_test,39.77,16.87
Solomon Islands,SLB,WPR,HIV test,c_hiv_test,9.63,13.48
Somalia,SOM,EMR,HIV test,c_hiv_test,3.95,5.53
South Africa,ZAF,AFR,HIV test,c_hiv_test,4.7,6.58
South Sudan,SSD,AFR,HIV test,c_hiv_test,4.7,6.58
Spain,ESP,EUR,HIV test,c_hiv_test,44.14,18.72
