cost parameter,description,Unit of cost,location of activity,setting,ISO,unit cost ,parm1,parm2,Year,source,
c.lvx1,levofloxacin,treatment day,,World,WLD,0.19,0.13,0.39,2021,GDF,
c.lvx2,levofloxacin,treatment day,,World,WLD,0.65,0.39,0.90,2021,GDF,
c.mxf1,moxifloxacin,treatment day,,World,WLD,0.30,0.20,0.40,2021,GDF,
c.mxf2,moxifloxacin,treatment day,,World,WLD,0.80,0.60,0.80,2021,GDF,
c.dlm1,delamanid,treatment day,,World,WLD,1.13,0.56,1.13,2021,GDF,
c.dlm2,delamanid,treatment day,,World,WLD,2.26,1.69,4.52,2021,GDF,
c.bdq1.2wks,bedaquiline,treatment day,,World,WLD,1.70,1.28,1.70,2021,GDF,
c.bdq1.2wks+,bedaquiline,treatment day,,World,WLD,0.36,0.18,0.36,2021,GDF,
c.bdq2.2wks,bedaquiline,treatment day,,World,WLD,3.62,3.62,7.23,2021,GDF,
c.bdq2.2wks+,bedaquiline,treatment day,,World,WLD,0.78,1.55,0.55,2021,GDF,
c.cfz1,clofazimine,treatment day,,World,WLD,0.25,0.25,0.49,2021,GDF,
c.cfz2,clofazimine,treatment day,,World,WLD,0.49,0.49,0.98,2021,GDF,
c.lin1,linezolid,treatment day,,World,WLD,0.09,0.09,0.09,2021,GDF,
c.lin2,linezolid,treatment day,,World,WLD,0.18,0.09,0.18,2021,GDF,
c.cs1,cycloserine,treatment day,,World,WLD,0.45,0.45,0.45,2021,GDF,
c.cs2,cycloserine,treatment day,,World,WLD,1.80,0.90,1.80,2021,GDF,
c.trd1,terizidone,treatment day,,World,WLD,1.75,1.75,1.75,2021,GDF,
c.trd2,terizidone,treatment day,,World,WLD,5.25,3.50,7.00,2021,GDF,
c.hiv,HIV test,person tested,Facility ,lmic,lmic,10.00,2.00,58.00,2013,https://www.ncbi.nlm.nih.gov/books/NBK316032/,
c.hiv,HIV test,person tested,Home-based,lmic,lmic,11.00,7.00,19.00,2013,https://www.ncbi.nlm.nih.gov/books/NBK316032/,
c.hiv,HIV test,person tested,Mobile,lmic,lmic,20.00,7.00,46.00,2013,https://www.ncbi.nlm.nih.gov/books/NBK316032/,
c.hiv,HIV test,person tested,Facility ,hic,hic,56.00,20.00,115.00,2013,https://www.ncbi.nlm.nih.gov/books/NBK316032/,
