Country or Area,Year,Item,Value
Montenegro,2019,Gross Domestic Product (GDP),8825.344514
Montserrat,2019,Gross Domestic Product (GDP),13487.45017
Morocco,2019,Gross Domestic Product (GDP),3282.007597
Mozambique,2019,Gross Domestic Product (GDP),503.745209
Myanmar,2019,Gross Domestic Product (GDP),1420.740813
Namibia,2019,Gross Domestic Product (GDP),4957.358577
Nauru,2019,Gross Domestic Product (GDP),12350.92613
Nepal,2019,Gross Domestic Product (GDP),1073.621801
Netherlands,2019,Gross Domestic Product (GDP),53052.81431
New Caledonia,2019,Gross Domestic Product (GDP),34941.50154
New Zealand,2019,Gross Domestic Product (GDP),43229.34348
Nicaragua,2019,Gross Domestic Product (GDP),1912.899162
Niger,2019,Gross Domestic Product (GDP),554.5799425
Nigeria,2019,Gross Domestic Product (GDP),2361.206967
Norway,2019,Gross Domestic Product (GDP),74985.51526
Oman,2019,Gross Domestic Product (GDP),15343.062
Pakistan,2019,Gross Domestic Product (GDP),1186.69208
Palau,2019,Gross Domestic Product (GDP),15572.49034
Panama,2019,Gross Domestic Product (GDP),15727.97039
Papua New Guinea,2019,Gross Domestic Product (GDP),2845.190636
Paraguay,2019,Gross Domestic Product (GDP),5406.483416
Peru,2019,Gross Domestic Product (GDP),6977.76782
Philippines,2019,Gross Domestic Product (GDP),3323.767006
Poland,2019,Gross Domestic Product (GDP),15727.03061
Portugal,2019,Gross Domestic Product (GDP),23350.35385
Puerto Rico,2019,Gross Domestic Product (GDP),35790.65237
Qatar,2019,Gross Domestic Product (GDP),64781.7332
Republic of Korea,2019,Gross Domestic Product (GDP),32143.08501
Republic of Moldova,2019,Gross Domestic Product (GDP),2956.883244
Republic of North Macedonia,2019,Gross Domestic Product (GDP),6093.14769
Romania,2019,Gross Domestic Product (GDP),12914.1074
Russian Federation,2019,Gross Domestic Product (GDP),11605.56639
Rwanda,2019,Gross Domestic Product (GDP),820.0912107
Saint Kitts and Nevis,2019,Gross Domestic Product (GDP),19896.4957
Saint Lucia,2019,Gross Domestic Product (GDP),11611.42213
Saint Vincent and the Grenadines,2019,Gross Domestic Product (GDP),7463.537831
Samoa,2019,Gross Domestic Product (GDP),4285.485317
San Marino,2019,Gross Domestic Product (GDP),47313.35245
Sao Tome and Principe,2019,Gross Domestic Product (GDP),1961.24581
Saudi Arabia,2019,Gross Domestic Product (GDP),23139.80211
Senegal,2019,Gross Domestic Product (GDP),1452.134664
Serbia,2019,Gross Domestic Product (GDP),7359.348533
Seychelles,2019,Gross Domestic Product (GDP),17381.65108
Sierra Leone,2019,Gross Domestic Product (GDP),527.5336318
Singapore,2019,Gross Domestic Product (GDP),64102.73761
Sint Maarten (Dutch part),2019,Gross Domestic Product (GDP),23803.90677
Slovakia,2019,Gross Domestic Product (GDP),19255.89567
Slovenia,2019,Gross Domestic Product (GDP),26062.16682
Solomon Islands,2019,Gross Domestic Product (GDP),1944.818169
Somalia,2019,Gross Domestic Product (GDP),105.3106824
South Africa,2019,Gross Domestic Product (GDP),6001.389576
South Sudan,2019,Gross Domestic Product (GDP),448.3552934
Spain,2019,Gross Domestic Product (GDP),29815.71781
Sri Lanka,2019,Gross Domestic Product (GDP),3939.684198
State of Palestine,2019,Gross Domestic Product (GDP),3424.465313
Sudan,2019,Gross Domestic Product (GDP),815.0601008
Suriname,2019,Gross Domestic Product (GDP),6359.634834
Sweden,2019,Gross Domestic Product (GDP),52895.9567
Switzerland,2019,Gross Domestic Product (GDP),85134.95483
Syrian Arab Republic,2019,Gross Domestic Product (GDP),1193.853039
Tajikistan,2019,Gross Domestic Product (GDP),894.0129344
Thailand,2019,Gross Domestic Product (GDP),7784.73908
Timor-Leste,2019,Gross Domestic Product (GDP),1560.50984
Togo,2019,Gross Domestic Product (GDP),899.4907444
Tonga,2019,Gross Domestic Product (GDP),4865.491695
Trinidad and Tobago,2019,Gross Domestic Product (GDP),16637.25981
Tunisia,2019,Gross Domestic Product (GDP),3317.515276
Turkey,2019,Gross Domestic Product (GDP),9126.562459
Turkmenistan,2019,Gross Domestic Product (GDP),8124.494047
Turks and Caicos Islands,2019,Gross Domestic Product (GDP),31353.46024
Tuvalu,2019,Gross Domestic Product (GDP),4036.000516
Uganda,2019,Gross Domestic Product (GDP),736.6030867
Ukraine,2019,Gross Domestic Product (GDP),3495.531163
United Arab Emirates,2019,Gross Domestic Product (GDP),43103.32306
United Kingdom of Great Britain and Northern Ireland,2019,Gross Domestic Product (GDP),41854.50307
United Republic of Tanzania: Mainland,2019,Gross Domestic Product (GDP),1084.373491
United Republic of Tanzania: Zanzibar,2019,Gross Domestic Product (GDP),1110.842671
United States,2019,Gross Domestic Product (GDP),65133.73165
Uruguay,2019,Gross Domestic Product (GDP),16190.13844
Uzbekistan,2019,Gross Domestic Product (GDP),1756.163496
Vanuatu,2019,Gross Domestic Product (GDP),3023.409445
Venezuela (Bolivarian Republic of),2019,Gross Domestic Product (GDP),4732.820093
Viet Nam,2019,Gross Domestic Product (GDP),2715.275874
Yemen,2019,Gross Domestic Product (GDP),855.0668107
Zambia,2019,Gross Domestic Product (GDP),1292.482076
Zimbabwe,2019,Gross Domestic Product (GDP),1463.985913
